X397_Dendritic.cells	X261_NK.cells	X607_T.cells	X501_T.cells	X383_Dendritic.cells	X331_Dendritic.cells	X1396_T.cells	X1446_Dendritic.cells	X669_NK.cells	X1129_NK.cells	X766_T.cells	X685_NK.cells	X1433_NK.cells	X349_Dendritic.cells	X1438_NK.cells	X138_T.cells	X285_NK.cells	X297_NK.cells	X123_NK.cells	X380_Dendritic.cells	X128_T.cells	X279_NK.cells	X1239_Dendritic.cells	X698_NK.cells	X65_Dendritic.cells	X378_Dendritic.cells	X1313_Dendritic.cells	X730_NK.cells	X67_Dendritic.cells	X675_NK.cells	X1268_Dendritic.cells	X1481_NK.cells	X870_T.cells	X355_Dendritic.cells	X72_Dendritic.cells	X12_NK.cells	X719_NK.cells	X655_NK.cells	X723_NK.cells	X654_NK.cells	X1418_T.cells	X1412_T.cells	X691_NK.cells	X207_T.cells	X20_Dendritic.cells	X413_Dendritic.cells	X681_NK.cells	X251_NK.cells	X871_T.cells	X663_NK.cells	X1201_Dendritic.cells	X1262_Dendritic.cells	X468_Dendritic.cells	X217_T.cells	X1212_Dendritic.cells	X293_NK.cells	X411_Dendritic.cells	X593_T.cells	X426_Dendritic.cells	X347_Dendritic.cells	X283_NK.cells	X768_T.cells	X1217_Dendritic.cells	X632_T.cells	X455_Dendritic.cells	X439_Dendritic.cells	X456_Dendritic.cells	X263_NK.cells	X1296_Dendritic.cells	X412_Dendritic.cells	X1247_Dendritic.cells	X187_T.cells	X665_NK.cells	X306_NK.cells	X1228_Dendritic.cells	X1225_Dendritic.cells	X296_NK.cells	X294_NK.cells	X718_NK.cells	X373_Dendritic.cells	X613_NK.cells	X302_Dendritic.cells	X674_NK.cells	X850_T.cells	X422_Dendritic.cells	X736_NK.cells	X1216_Dendritic.cells	X1055_NK.cells	X474_Dendritic.cells	X1309_NK.cells	X386_Dendritic.cells	X1331_T.cells	X913_NK.cells	X1213_Dendritic.cells	X706_NK.cells	X679_NK.cells	X449_Dendritic.cells	X1379_T.cells	X1378_T.cells	X1303_Dendritic.cells	X245_Dendritic.cells	X1366_T.cells	X362_Dendritic.cells	X678_NK.cells	X1449_NK.cells	X312_NK.cells	X1435_Dendritic.cells	X1361_T.cells	X358_Dendritic.cells	X28_T.cells	X141_T.cells	X250_NK.cells	X227_NK.cells	X326_Dendritic.cells	X230_NK.cells	X1324_Dendritic.cells	X385_Dendritic.cells	X1437_NK.cells	X428_Dendritic.cells	X105_T.cells	X1223_Dendritic.cells	X838_T.cells	X695_NK.cells	X1436_Dendritic.cells	X1386_T.cells	X239_NK.cells	X391_Dendritic.cells	X13_Dendritic.cells	X368_NK.cells	X687_NK.cells	X708_NK.cells	X1329_T.cells	X260_NK.cells	X1248_Dendritic.cells	X275_NK.cells	X418_NK.cells	X595_T.cells	X811_T.cells	X1294_Dendritic.cells	X647_NK.cells	X605_T.cells	X1447_NK.cells	X337_NK.cells	X733_NK.cells	X661_NK.cells	X538_T.cells	X327_Dendritic.cells	X36_T.cells	X1320_Dendritic.cells	X216_T.cells	X82_Dendritic.cells	X1205_Dendritic.cells	X712_NK.cells	X357_Dendritic.cells	X1300_Dendritic.cells	X845_T.cells	X336_Dendritic.cells	X726_NK.cells	X1282_Dendritic.cells	X107_T.cells	X1066_NK.cells	X1226_Dendritic.cells	X22_NK.cells	X177_T.cells	X1348_T.cells	X206_T.cells	X237_NK.cells	X1221_Dendritic.cells	X495_T.cells	X701_NK.cells	X877_T.cells	X1417_T.cells	X1427_Dendritic.cells	X1288_Dendritic.cells	X1258_Dendritic.cells	X314_NK.cells	X690_NK.cells	X916_NK.cells	X328_Dendritic.cells	X91_Dendritic.cells	X725_NK.cells	X590_T.cells	X1439_NK.cells	X1469_NK.cells	X541_T.cells	X333_Dendritic.cells	X142_T.cells	X1424_T.cells	X648_NK.cells	X857_T.cells	X756_T.cells	X147_T.cells	X354_Dendritic.cells	X241_NK.cells	X752_T.cells	X259_NK.cells	X540_T.cells	X1002_NK.cells	X252_NK.cells	X266_NK.cells
TNFRSF18	0	3.204732426	0	0	0	0	0	0	0	10.55924509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.896012326	0	8.136276358	0	0	0	1.701794639	0	0	9.736179999	0	0	0	0	0	0	0	0	0	11.36984596	0	0	0	0	0	0	0	5.662593299	0	0	0	0	7.059286536	0	0	0	0	0	0	0	0	0	0	0	2.904969906	0	0	0	0	0	0	0	0	0	5.982898341	0	0	0	9.142152731	0	0	0	0	9.557815711	0	0	0	0	0	0	0	0	0	0	0	9.764534317	0	0	0	0	10.28908319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.479457468	0	2.819061554	0	0	0	0	0	0	0	9.449009734	0	0	0	0	0	0	0	0	0	1.80278795	0	0	0	0	0	0	0	0	0	0	0	0	10.74104316	0	10.8441833	0	0	0	0	0	8.362603583	0	0	0	0	0	0	0	0	10.35246792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.820504091	0	6.01424618	0
TNFRSF4	7.8813384	0	0	0	0	0	0	0	0	9.389448101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.27872694	4.148770645	0	0	1.354177805	0	0	0	0	0	0	0	0	0	0	4.684494488	0	11.51018251	0	0	0	0	0	0	0	5.862245347	0	0	0	0	9.266148377	0	0	0	0	0	0	0	0	5.50444488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.008430331	0	0	0	8.607436482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8147232	0	0	0	0	9.442345304	0	0	0	0	0	0	0	8.132363921	0	6.118483597	1.845159758	0	0	0	0	0	7.345571616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.174262717	0	0
TNFRSF14	2.64971001	2.439144468	8.377429691	6.735799714	0	4.465247593	0	0	7.820514761	6.214355801	7.630500472	0	0	6.069625296	0	0	3.074857938	1.861877858	7.65014932	1.592466354	0	0	4.986291894	0	0	0	7.357413699	1.449747202	0	0	7.715796003	5.67260552	0	3.825283507	4.397751417	2.390507982	3.194084783	5.470569137	2.757465088	0	0	0	0	0	2.294770022	0	7.439348223	0	0	2.423336289	0	7.139570708	0	7.407994938	8.86307304	0	5.508821258	7.86848472	0	0	8.594135977	0	2.289099286	8.428769817	2.067097361	2.024580104	6.500261749	0	6.179027155	7.515392989	0	0	2.106499495	0	7.257874562	7.103331636	0	7.518843729	0	0	0	0	7.476297291	6.94705179	6.804755439	0	1.944973498	3.139281496	6.772564359	0.963570891	0	0	0	3.321516264	0	7.267403945	0	7.293870316	0	6.151098841	4.264594999	0	6.373595452	6.980798232	0	3.207582829	0.933895992	0	0	0	0	0	0	0	8.568289019	5.34609839	6.568341478	6.190891458	4.191665364	0	0	0	0	7.391648143	0	4.491688998	7.83567265	0.566760828	0	0	0	6.279748894	0	6.066027515	8.682279281	0	7.378845546	4.965977375	6.73772737	0	7.912246466	4.020940854	0	0	4.743306564	4.908466296	3.222695305	5.529904796	5.402636356	0	0	0	8.616014074	0	4.221656562	0	3.311595139	1.423043999	4.601063119	0	0	5.253868678	0	0	6.860679681	0	0	0	5.587630854	0	8.500637037	0	0	0	4.810467387	0	0	6.243325794	4.370122131	2.355456776	4.623575312	7.809901134	0	8.767254182	7.997013667	6.197611392	0	0	8.412883962	6.305977773	0	0	0	0	0	1.341838121	1.398643544	0	0	0
TNFRSF25	0	0	0	0	0	0	0	0	0	9.348667894	8.845475619	0	0	0	0	0	6.622870034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.439075571	0	0	0	0	0	0	0	0	0	9.631064074	0	0	0	0	0	9.170285615	0	0	0	0	0	0	0	0	2.647692727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.399236393	0	0	1.54956303	0	0	7.301561832	0	2.612746212	7.315018578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.102496806	0	0	0	0	0	0	10.00134388	0	0	0	2.11671099	10.35696747	5.7437516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.731895802	0	0	0	0	0	0	0	0	0	0.930258351	0	0	0	0	0	0	0	2.879303751	0	0	0	0	8.741044608	0	7.330140272	2.375705919	2.794042179	10.27318077	0	0	0	0	8.791822516	0	0	0	0	0	0	8.911865236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.16253464	0	1.683985694	0	3.652720134	0
UTS2	0	0	2.577990234	0	0	0	8.148064166	0	0	0	0	0	0	0	6.99187195	0	0	5.859094954	0	0	8.198838516	7.812465922	0	7.455349138	0	6.892970876	0	0	0	8.287919212	0	4.77496738	0	0	8.353341295	5.908347728	0	4.360998496	10.63310232	0	9.23175318	0	0	0	0	8.147109906	1.516336074	0	0	0	8.334822018	0	0	0	0	0	0	6.836700857	1.862795745	0	0	8.490926508	0	0	0	4.628098434	0	0	0	0	0	7.186260614	0	8.813607026	2.360551866	6.45527845	0	0	2.427386791	0	0	9.899621745	0	0	2.247376268	0	0	0	0	0	6.47904345	9.289125304	8.711349345	0	0	9.29846606	0	9.151802919	8.095337965	5.560407466	0	0	0	0	7.322645736	0	0	8.156328834	9.212132098	5.220804967	0	0	0	0	9.0092598	6.161943002	0	0	0	0	0	0	2.3468257	0	8.609520516	8.371963939	0	0	0	10.0491821	10.20942412	0	0	6.198411099	6.264562938	0	2.401761178	0	7.244022234	5.387658539	0	6.382935624	0	0	0	0	2.46246556	0	5.591820726	8.639598217	0	0	0	0	7.572432524	0	9.012600294	0	0	0	0	8.077137523	0	0	0	0	2.447165808	2.077401399	9.610198354	0	7.119730002	0	0	0	0	0	0	0	5.056493123	0	0	7.5775064	0	0	0	0	0	0	0	0	0	2.308328067	2.213148308	0	0	8.890256009	0	0	0	0
TNFRSF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.532206689	0	0	0	0.927725166	0	0	7.234659481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.531160131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.596188314	0	0	1.081605283	0.802371548	0	0	0	3.00158726	0	0	0	0.821730462	0	8.253211416	8.106836609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.123121883	1.352065324	0	0	0	0	0	0	0	0	0	0.583392982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.64988283	0	0	0	5.09022957	0	0	0	7.854269325	0	0	0	0	0	0	6.785523008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX14	0	0	0	5.148056224	0	0	0	0	0	5.455261348	0	6.892982808	0	0	0	0	0	0	0	0	2.27941575	0	0	0	0	0	0	0	0	2.387188505	4.351698088	3.675380681	6.374115736	0	0	1.265299928	0	0	0	0	0	7.851123804	0	0	3.748391642	0	7.380031333	1.56862207	0	0	0	0	0	0	8.629391639	0	0	0	0	0	0	0	0	0	0	0	4.863460021	0	0	0	2.164002965	5.93768559	0	0	0	5.476114091	0	0	0	0	0	0	0	5.992056099	0	0	3.827900196	0	0	5.749662364	0	0	0	0	8.314891512	0	5.819245284	0	0	0	0	0	4.543302978	5.818824079	0	0	0	0	2.588852334	0	0	0	0	0	0	0	0	0	0	0	0	5.492351487	0	1.916804308	0	0	0	0	6.182468004	0	0	0	0	3.483951247	7.188250774	0	0	0	5.392271932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.228355604	0	5.216561697	0	0	0	0	0	0	0	0	8.033972864	0	0	0	0	0	5.86524553	0	0	0	0	0	4.660889809	6.186047714	3.397112587	0	0	0	5.860194183	2.944161212	0	0	6.608696495	0	0	7.547701481	0	0	0	7.983703517	0	0	0	0	0
TNFRSF1B	7.87675302	9.00839477	9.142078645	0	7.486128276	4.362578585	0	1.901707041	7.306096597	0	9.201086274	8.731663682	6.281069371	0	9.516597366	0	10.15207934	4.642822857	8.726807771	8.5611518	8.248096023	1.737209619	8.131388052	0	0	9.468412717	5.897409735	0	6.91683369	0	8.731331245	4.286510362	9.646977618	4.714042845	4.452008904	1.837910359	1.936084009	5.744130508	9.064922851	8.750811689	2.324048517	0	9.516974786	0	0	0	4.504223326	9.034720946	10.43426693	8.304372427	8.359556146	7.861367753	4.291213533	0	4.995398672	8.419356963	6.963040294	9.444926024	1.12603256	6.357631323	0	8.328983017	7.496999003	9.165822205	8.449036335	6.317248366	8.143391922	2.856743813	8.035801681	9.596005877	3.578666926	4.389388729	0	9.199711218	8.453633936	7.181896663	0	0	0	9.71913626	8.028514379	6.945480507	1.545318027	7.728390243	0	0	5.318874162	2.681840171	8.0124964	6.854642132	8.217496827	5.58693576	2.214467131	0	8.492282783	0	1.362447097	7.056099758	0	5.270933174	7.540670669	0	9.305096996	0	1.410882816	2.115221879	5.695588138	6.226363016	0	1.236479384	0	1.624025283	5.969331894	6.758504868	0	7.177844633	7.57057753	0	6.597393054	0	7.631409822	2.758502553	7.649415448	8.413855824	8.731615409	2.387323684	0	7.484733314	6.249418415	0	0	0	9.087499519	5.900527628	0	10.48742736	1.546616368	0	3.262231858	4.272405992	7.579618014	6.407811872	10.00338244	1.359294594	8.943337228	2.329635181	4.659799954	6.628366652	5.289917612	5.751099384	8.120251	10.37287505	1.336122876	0	6.548261453	0	3.565089944	0	0	4.378954379	0	6.548820562	9.375537257	0	7.886979352	0	9.552482885	8.398707519	7.095131489	0	8.909490731	6.665272145	7.553138641	6.438646036	0	6.578867853	7.753892033	0	8.77044658	6.148920791	0	1.840781528	7.498181837	7.397017313	0	8.099817477	1.499691142	8.129651836	2.758731051	2.593119011	0	8.201548329	6.847530728	2.323653195	2.41474629	6.007360692	7.704238122	0	5.893372123	4.940211293
EPHA8	0.607172145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.925769475	0	0	0	0	0	0.63722893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284485849	0	0	0	0	0	0	0	1.943787124	0	0	0	0	0	0	0	0	0	0	0	0	0.476493185	1.235480021	0	0.554874186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.194522375	0	0	0.734851758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.073651649	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QA	12.66484539	0	0	0	13.38946433	2.594288915	4.508236157	12.97512324	0	2.914455595	0	0	3.495366154	13.11974119	0	2.948122827	0	0	0	13.5102767	0	0	7.539351442	0	0	11.31946758	0	0	8.445404001	0	12.07194747	0	0	11.67183817	12.30649447	0	3.386921332	0	0	3.069661118	3.849257982	0	0	0	10.54943325	0	0	0	0	0	10.06090042	9.63285002	13.38554272	0	11.67460656	3.768133929	0	0	0	11.47376332	3.375076124	0	0	0	3.803154159	12.03124427	12.41192621	2.801331079	12.57369682	12.2334705	0	0	0	0	9.443387081	10.5096643	0	0	0	0	0	0	0	0	2.728071085	0	0	0	12.81748869	2.280767961	0	0	0	7.910360395	0	0	2.645892808	0	0	11.20341976	0	0	10.8614245	0	0	0	0	0	0	0	0	0	0	12.49332941	0	3.8324903	12.30253267	12.81106684	10.85744191	4.3944763	7.600247644	0	0	2.553145937	0	0	2.703875949	0	8.614311642	0	0	0	0	10.78734891	3.287008806	0	0	0	10.12239594	0	0	2.526053212	3.446894113	0	0	2.952111555	0	3.570536178	9.921508759	0	13.58050682	0	0	11.56350523	9.539028557	0	12.52883955	3.873845651	0	0	0	11.32230222	2.939442433	0	0	0	0	6.928852344	0	0	0	0	0	12.15605445	2.166539635	0	0	0	8.089048435	11.52387779	2.930819509	0	0	0	0	12.5264673	0	0	0	0	0	0	12.75935263	0	0	0	0	0	0	0
