Dendritic.cells-Dendritic.cells	Dendritic.cells-NK.cells	Dendritic.cells-T.cells	NK.cells-Dendritic.cells	NK.cells-NK.cells	NK.cells-T.cells	T.cells-Dendritic.cells	T.cells-NK.cells	T.cells-T.cells
Deoxycorticosterone - NR3C2	0.68996239027135	0.32402905710379	0.329886846362621	0.687555986628	0.318872959980335	0.324823746302705	0.689075302364911	0.322135844307818	0.328027443582721
Aldosterone - NR3C2	0.687659312752157	0.319095691405238	0.325042400047887	0.688710268777893	0.321354265848043	0.327259936035926	0.685986174485131	0.315473868083177	0.321487578296372
Butyric acid - FFAR3	0.365499933024376	0.365841640006675	0.577104487026726	0.343764353906809	0.344127644252704	0.563589672476814	0.371291322197646	0.371627704108866	0.580789664030648
Cholesterol - CD36	0.594828629734957	0	0	0.594828629734957	0	0	0.594828629734957	0	0
Cholesterol - SCARB1	0.685315797777015	0	0.304488084289896	0.685315797777015	0	0.304488084289896	0.685315797777015	0	0.304488084289896
Epinephrine - ADRA2B	0.558995818130543	0	0	0.536600238320048	0	0	0.741646045714249	0	0
Epinephrine - ADRB2	0.346955073785497	0.707743073525383	0.453911732828839	0.309582483844284	0.690191096147185	0.426027407894582	0.598281167731065	0.85933857737175	0.666031826293479
Dopamine - COMT	0.36136659449786	0	0.873176653125731	0.32565212527585	0	0.859011617291378	0.60675229546754	0	1
gamma-Aminobutyric acid - GABBR1	0.477119429429817	0.310361012068214	0	0.476793186051844	0.309859242460251	0	0.478909505600629	0.313105928444689	0
Glycine - SLC16A10	0.301742222550992	0.381374083861987	0.46381706726561	0.381374083861987	0.44703916474189	0.51915710036407	0.46381706726561	0.51915710036407	0.582412375300981
L-Tyrosine - GPR35	0.408119736890804	0	0	0.470063338935698	0	0	0.539110028339929	0	0
L-Tyrosine - SLC16A10	0.301742222550992	0.381374083861987	0.46381706726561	0.381374083861987	0.44703916474189	0.51915710036407	0.46381706726561	0.51915710036407	0.582412375300981
L-Phenylalanine - SLC16A10	0.301742222550992	0.381374083861987	0.46381706726561	0.381374083861987	0.44703916474189	0.51915710036407	0.46381706726561	0.51915710036407	0.582412375300981
L-Dopa - SLC16A10	0.301742222550992	0.381374083861987	0.46381706726561	0.381374083861987	0.44703916474189	0.51915710036407	0.46381706726561	0.51915710036407	0.582412375300981
Norepinephrine - ADRA2B	0.558995818130543	0	0	0.536600238320048	0	0	0.741646045714249	0	0
Norepinephrine - ADRB2	0.346955073785497	0.707743073525383	0.453911732828839	0.309582483844284	0.690191096147185	0.426027407894582	0.598281167731065	0.85933857737175	0.666031826293479
Norepinephrine - COMT	0.36136659449786	0	0.873176653125731	0.32565212527585	0	0.859011617291378	0.60675229546754	0	1
Propionic acid - FFAR3	0.405529775689971	0.405837779775501	0.60325267249861	0.390111234268707	0.390431401944828	0.5929976079279	0.38110568397015	0.381433410802339	0.587112365957244
Uridine diphosphate glucose - P2RY14	0.694394911398392	0	0	0.672958228440912	0	0	0.679564696577084	0	0
Uridine 5'-diphosphate - P2RY14	0.671061829988896	0	0	0.671061829988896	0	0	0.671061829988896	0	0
Uridine diphosphategalactose - P2RY14	0.671061829988896	0	0	0.671061829988896	0	0	0.671061829988896	0	0
Adenosine triphosphate - P2RY12	0.6574223213419	0	0	0.65266626954683	0	0	0.653789507533418	0	0
Histamine - HRH2	0.518973671223601	0	0	0.518973671223601	0	0	0.518973671223601	0	0
Acetylcholine - CHRNE	0.423734993653991	0.330128783589489	0.417824379994432	0.423734993653991	0.330128783589489	0.417824379994432	0.423734993653991	0.330128783589489	0.417824379994432
L-Tryptophan - SLC16A10	0.301742222550992	0.381374083861987	0.46381706726561	0.381374083861987	0.44703916474189	0.51915710036407	0.46381706726561	0.51915710036407	0.582412375300981
Farnesyl pyrophosphate - LPAR2	0.330465445354379	0	0.644464509836764	0.330465445354379	0	0.644464509836764	0.330465445354379	0	0.644464509836764
Lanosterol - HRH2	0.518973671223601	0	0	0.518973671223601	0	0	0.518973671223601	0	0
ADP - P2RY12	0.65278164504382	0	0	0.652327805095553	0	0	0.652327805095553	0	0
Prostaglandin D2 - PTGER2	0.302494191777816	0.616455258722645	0.468035927061971	0.302494191777816	0.616455258722645	0.468035927061971	0.302494191777816	0.616455258722645	0.468035927061971
Prostaglandin D2 - PTGDR	0.295819922712765	0.727684587095246	0.340912000592192	0.295819922712765	0.727684587095246	0.340912000592192	0.295819922712765	0.727684587095246	0.340912000592192
Corticosterone - NR3C2	0.687110978415168	0.317912293749811	0.323880731246504	0.688710268777893	0.321354265848043	0.327259936035926	0.685986174485131	0.315473868083177	0.321487578296372
Heme - TLR4	0.584204952312285	0	0	0.584204952312285	0	0	0.584204952312285	0	0
Heme - LRP1	0.549013954740937	0	0	0.549013954740937	0	0	0.549013954740937	0	0
Hydrogen sulfide - CD36	0.594828629734957	0	0	0.594828629734957	0	0	0.594828629734957	0	0
25-Hydroxycholesterol - ABCA1	0.599582785868903	0.31851784571739	0	0.599582785868903	0.31851784571739	0	0.599582785868903	0.31851784571739	0
Iron - TFRC	0.434105845909363	0.380264446167021	0.575437487151427	0.434105845909363	0.380264446167021	0.575437487151427	0.434105845909363	0.380264446167021	0.575437487151427
