HMDB_ID	NAME	GENE_NAME	enzyme_p_s
HMDB0000012	Deoxyuridine	CDA	p
HMDB0000012	Deoxyuridine	APOBEC3G	p
HMDB0000014	Deoxycytidine	NT5E	p
HMDB0000014	Deoxycytidine	NT5C1B	p
HMDB0000014	Deoxycytidine	NT5C1A	p
HMDB0000014	Deoxycytidine	NT5C	p
HMDB0000014	Deoxycytidine	NT5M	p
HMDB0000014	Deoxycytidine	NT5C2	p
HMDB0000014	Deoxycytidine	CDA	s
HMDB0000014	Deoxycytidine	APOBEC3G	s
HMDB0000016	Deoxycorticosterone	CYP11B1	s
HMDB0000016	Deoxycorticosterone	HSD3B1	p
HMDB0000016	Deoxycorticosterone	HSD3B2	p
HMDB0000016	Deoxycorticosterone	CYP11B2	s
HMDB0000016	Deoxycorticosterone	CYP21A2	p
HMDB0000022	3-Methoxytyramine	COMT	p
HMDB0000031	Androsterone	AKR1C4	s
HMDB0000034	Adenine	HPRT1	p
HMDB0000037	Aldosterone	CYP11B1	p
HMDB0000037	Aldosterone	CYP11B2	p
HMDB0000039	Butyric acid	ACSM1	s
HMDB0000039	Butyric acid	ACSM2A	s
HMDB0000039	Butyric acid	ACSM2B	s
HMDB0000039	Butyric acid	ACSM3	s
HMDB0000039	Butyric acid	ACSM5	s
HMDB0000039	Butyric acid	ACSM4	s
HMDB0000042	Acetic acid	ALDH9A1	p
HMDB0000042	Acetic acid	ALDH3A1	p
HMDB0000042	Acetic acid	ALDH7A1	p
HMDB0000042	Acetic acid	ALDH1A3	p
HMDB0000042	Acetic acid	ALDH2	p
HMDB0000042	Acetic acid	ALDH3A2	p
HMDB0000042	Acetic acid	ALDH1B1	p
HMDB0000042	Acetic acid	ALDH3B1	p
HMDB0000042	Acetic acid	ACY1	p
HMDB0000042	Acetic acid	CYP17A1	p
HMDB0000042	Acetic acid	ACSS3	s
HMDB0000043	Betaine	ALDH7A1	p
HMDB0000043	Betaine	BHMT	s
HMDB0000043	Betaine	BHMT2	s
HMDB0000045	Adenosine monophosphate	NT5E	s
HMDB0000045	Adenosine monophosphate	NT5C1B	s
HMDB0000045	Adenosine monophosphate	NT5C1A	s
HMDB0000045	Adenosine monophosphate	NT5C	s
HMDB0000045	Adenosine monophosphate	NT5M	s
HMDB0000045	Adenosine monophosphate	ENTPD1	p
HMDB0000045	Adenosine monophosphate	ENTPD3	p
HMDB0000045	Adenosine monophosphate	ENPP1	p
HMDB0000045	Adenosine monophosphate	ENPP3	p
HMDB0000045	Adenosine monophosphate	BPNT1	p
HMDB0000045	Adenosine monophosphate	ADPGK	p
HMDB0000045	Adenosine monophosphate	HPRT1	s
HMDB0000045	Adenosine monophosphate	PRPS1L1	p
HMDB0000045	Adenosine monophosphate	ACSL4	p
HMDB0000045	Adenosine monophosphate	PDE1A	p
HMDB0000045	Adenosine monophosphate	UBE2D1	p
HMDB0000045	Adenosine monophosphate	PDE8A	p
HMDB0000045	Adenosine monophosphate	ACSL1	p
HMDB0000050	Adenosine	NT5E	p
HMDB0000050	Adenosine	NT5C1B	p
HMDB0000050	Adenosine	NT5C1A	p
