HMDB.ID	Metabolite.name	Receptor_gene.ID	Receptor_symbol
HMDB0000012	Deoxyuridine	3177	SLC29A2
HMDB0000014	Deoxycytidine	3177	SLC29A2
HMDB0000016	Deoxycorticosterone	2908	NR3C1
HMDB0000016	Deoxycorticosterone	4306	NR3C2
HMDB0000022	3-Methoxytyramine	134864	TAAR1
HMDB0000030	Biotin	8884	SLC5A6
HMDB0000031	Androsterone	367	AR
HMDB0000034	Adenine	64078	SLC28A3
HMDB0000034	Adenine	55315	SLC29A3
HMDB0000034	Adenine	80255	SLC35F5
HMDB0000034	Adenine	3177	SLC29A2
HMDB0000037	Aldosterone	4306	NR3C2
HMDB0000039	Butyric acid	2867	FFAR2
HMDB0000039	Butyric acid	2865	FFAR3
HMDB0000039	Butyric acid	338442	HCAR2
HMDB0000042	Acetic acid	2867	FFAR2
HMDB0000043	Betaine	6539	SLC6A12
HMDB0000045	Adenosine monophosphate	134	ADORA1
HMDB0000045	Adenosine monophosphate	54795	TRPM4
HMDB0000050	Adenosine	134	ADORA1
HMDB0000050	Adenosine	135	ADORA2A
HMDB0000050	Adenosine	136	ADORA2B
HMDB0000050	Adenosine	140	ADORA3
HMDB0000050	Adenosine	3177	SLC29A2
HMDB0000050	Adenosine	2030	SLC29A1
HMDB0000053	Androstenedione	367	AR
HMDB0000056	beta-Alanine	116512	MRGPRD
HMDB0000058	Cyclic AMP	1261	CNGA3
HMDB0000062	L-Carnitine	6584	SLC22A5
HMDB0000063	Cortisol	2908	NR3C1
HMDB0000064	Creatine	387700	SLC16A12
HMDB0000067	Cholesterol	948	CD36
HMDB0000067	Cholesterol	3949	LDLR
HMDB0000067	Cholesterol	949	SCARB1
HMDB0000067	Cholesterol	29881	NPC1L1
HMDB0000067	Cholesterol	6096	RORB
HMDB0000067	Cholesterol	6097	RORC
HMDB0000067	Cholesterol	6095	RORA
HMDB0000068	Epinephrine	146	ADRA1D
HMDB0000068	Epinephrine	147	ADRA1B
HMDB0000068	Epinephrine	150	ADRA2A
HMDB0000068	Epinephrine	151	ADRA2B
HMDB0000068	Epinephrine	152	ADRA2C
HMDB0000068	Epinephrine	153	ADRB1
HMDB0000068	Epinephrine	154	ADRB2
HMDB0000068	Epinephrine	155	ADRB3
HMDB0000071	Deoxyinosine	3177	SLC29A2
HMDB0000073	Dopamine	6531	SLC6A3
HMDB0000073	Dopamine	1812	DRD1
HMDB0000073	Dopamine	1813	DRD2
HMDB0000073	Dopamine	1814	DRD3
HMDB0000073	Dopamine	1815	DRD4
HMDB0000073	Dopamine	1816	DRD5
HMDB0000073	Dopamine	7442	TRPV1
HMDB0000073	Dopamine	6581	SLC22A3
HMDB0000073	Dopamine	6582	SLC22A2
HMDB0000073	Dopamine	6584	SLC22A5
HMDB0000073	Dopamine	1312	COMT
HMDB0000077	Dehydroepiandrosterone	367	AR
HMDB0000085	Deoxyguanosine	3177	SLC29A2
HMDB0000089	Cytidine	3177	SLC29A2
HMDB0000089	Cytidine	2030	SLC29A1
HMDB0000094	Citric acid	284111	SLC13A5
HMDB0000097	Choline	6580	SLC22A1
HMDB0000097	Choline	23446	SLC44A1
HMDB0000097	Choline	57153	SLC44A2
HMDB0000097	Choline	126969	SLC44A3
HMDB0000097	Choline	80736	SLC44A4
HMDB0000097	Choline	60482	SLC5A7
HMDB0000097	Choline	6582	SLC22A2
HMDB0000097	Choline	6584	SLC22A5
HMDB0000101	Deoxyadenosine	3177	SLC29A2
HMDB0000108	Ethanol	1138	CHRNA5
HMDB0000112	gamma-Aminobutyric acid	2550	GABBR1
HMDB0000112	gamma-Aminobutyric acid	2566	GABRG2
HMDB0000112	gamma-Aminobutyric acid	9568	GABBR2
HMDB0000112	gamma-Aminobutyric acid	2554	GABRA1
HMDB0000112	gamma-Aminobutyric acid	2557	GABRA4
HMDB0000112	gamma-Aminobutyric acid	2561	GABRB2
HMDB0000112	gamma-Aminobutyric acid	6529	SLC6A1
HMDB0000112	gamma-Aminobutyric acid	6540	SLC6A13
HMDB0000112	gamma-Aminobutyric acid	6538	SLC6A11
HMDB0000112	gamma-Aminobutyric acid	6539	SLC6A12
HMDB0000112	gamma-Aminobutyric acid	6535	SLC6A8
HMDB0000112	gamma-Aminobutyric acid	6533	SLC6A6
HMDB0000112	gamma-Aminobutyric acid	115207	KCTD12
HMDB0000112	gamma-Aminobutyric acid	57528	KCTD16
HMDB0000112	gamma-Aminobutyric acid	386617	KCTD8
HMDB0000112	gamma-Aminobutyric acid	2555	GABRA2
HMDB0000112	gamma-Aminobutyric acid	2556	GABRA3
HMDB0000112	gamma-Aminobutyric acid	2558	GABRA5
HMDB0000112	gamma-Aminobutyric acid	2559	GABRA6
HMDB0000112	gamma-Aminobutyric acid	2560	GABRB1
HMDB0000112	gamma-Aminobutyric acid	2562	GABRB3
HMDB0000112	gamma-Aminobutyric acid	2565	GABRG1
HMDB0000112	gamma-Aminobutyric acid	2567	GABRG3
HMDB0000121	Folic acid	2348	FOLR1
HMDB0000121	Folic acid	2350	FOLR2
HMDB0000121	Folic acid	6573	SLC19A1
HMDB0000122	D-Glucose	56606	SLC2A9
HMDB0000122	D-Glucose	6514	SLC2A2
HMDB0000122	D-Glucose	11182	SLC2A6
HMDB0000122	D-Glucose	6515	SLC2A3
HMDB0000122	D-Glucose	6517	SLC2A4
HMDB0000122	D-Glucose	29988	SLC2A8
HMDB0000122	D-Glucose	155184	SLC2A7
HMDB0000122	D-Glucose	154091	SLC2A12
HMDB0000122	D-Glucose	81031	SLC2A10
