HMDB_ID	NAME	GENE_NAME
HMDB0000067	Cholesterol	ABCB1
HMDB0000067	Cholesterol	ABCG2
HMDB0000073	Dopamine	SLC22A5
HMDB0000073	Dopamine	SLC22A1
HMDB0000073	Dopamine	SLC22A2
HMDB0000073	Dopamine	SLC22A3
HMDB0000148	L-Glutamic acid	SLC16A1
HMDB0000148	L-Glutamic acid	SLC16A10
HMDB0000641	L-Glutamine	SLC1A5
HMDB0000641	L-Glutamine	SLC7A8
HMDB0000641	L-Glutamine	SLC38A3
HMDB0000641	L-Glutamine	SLC16A10
HMDB0001311	D-Lactic acid	SLC16A3
HMDB0001311	D-Lactic acid	SLC16A1
HMDB0001311	D-Lactic acid	SLC16A7
HMDB0000687	L-Leucine	SLC7A8
HMDB0001429	Phosphate	ATP7B
HMDB0001429	Phosphate	ATP7A
HMDB0000259	Serotonin	SLC6A4
HMDB0000151	Estradiol	SLCO1B1
HMDB0000151	Estradiol	SLCO2B1
HMDB0000151	Estradiol	ABCB1
HMDB0000151	Estradiol	ABCG2
HMDB0000151	Estradiol	SLC22A11
HMDB0000151	Estradiol	SLC22A1
HMDB0000151	Estradiol	SLCO1A2
HMDB0000151	Estradiol	SLC22A2
HMDB0000151	Estradiol	SLC22A3
HMDB0000153	Estriol	ABCB1
HMDB0000153	Estriol	SLCO1A2
HMDB0000145	Estrone	SLCO1B1
HMDB0000145	Estrone	SLC22A7
HMDB0000108	Ethanol	SLC29A1
HMDB0000121	Folic acid	ABCC3
HMDB0000121	Folic acid	ABCG2
HMDB0000121	Folic acid	SLC46A1
HMDB0000121	Folic acid	ABCC4
HMDB0000121	Folic acid	SLC22A6
HMDB0000121	Folic acid	ABCC11
HMDB0000121	Folic acid	SLC25A32
HMDB0003178	Heme	SLC46A1
HMDB0000159	L-Phenylalanine	SLC7A8
HMDB0000159	L-Phenylalanine	SLC16A10
HMDB0000929	L-Tryptophan	SLC16A2
HMDB0000929	L-Tryptophan	SLC16A10
HMDB0001220	Prostaglandin E2	SLCO1B1
HMDB0001220	Prostaglandin E2	SLC22A7
HMDB0000244	Riboflavin	SLC22A6
HMDB0000234	Testosterone	ABCB1
HMDB0000234	Testosterone	ABCG2
HMDB0000234	Testosterone	SLC22A4
HMDB0000234	Testosterone	SLC10A1
HMDB0000234	Testosterone	SLC22A1
HMDB0000234	Testosterone	SLCO1A2
HMDB0000234	Testosterone	SLC22A3
HMDB0000234	Testosterone	SLC22A7
HMDB0000158	L-Tyrosine	SLC16A2
HMDB0000158	L-Tyrosine	SLC16A10
HMDB0000123	Glycine	SLC36A1
HMDB0000123	Glycine	SLC16A10
HMDB0000097	Choline	SLC44A1
HMDB0000097	Choline	SLC5A7
HMDB0000097	Choline	SLC22A1
HMDB0000097	Choline	SLC44A4
HMDB0000097	Choline	SLC44A2
HMDB0000097	Choline	SLC44A3
HMDB0001256	Spermine	SLC22A4
HMDB0001256	Spermine	SLC22A1
HMDB0001414	Putrescine	SLC22A4
HMDB0000064	Creatine	SLC22A5
HMDB0000243	Pyruvic acid	SLC16A3
HMDB0000243	Pyruvic acid	SLC16A1
HMDB0000243	Pyruvic acid	SLC16A2
HMDB0000243	Pyruvic acid	SLC16A7
