HMDB_ID	NAME	GENE_NAME	enzyme_p_s
HMDB0000012	Deoxyuridine	Cda	p
HMDB0000014	Deoxycytidine	Nt5e	p
HMDB0000014	Deoxycytidine	Nt5c1b	p
HMDB0000014	Deoxycytidine	Nt5c1a	p
HMDB0000014	Deoxycytidine	Nt5c	p
HMDB0000014	Deoxycytidine	Nt5m	p
HMDB0000014	Deoxycytidine	Nt5c2	p
HMDB0000014	Deoxycytidine	Cda	s
HMDB0000022	3-Methoxytyramine	Comt	p
HMDB0000031	Androsterone	Akr1c6	s
HMDB0000034	Adenine	Hprt1	p
HMDB0000037	Aldosterone	Cyp11b2	p
HMDB0000037	Aldosterone	Cyp11b1	p
HMDB0000043	Betaine	Aldh7a1	p
HMDB0000043	Betaine	Bhmt	s
HMDB0000043	Betaine	Bhmt2	s
HMDB0000045	Adenosine monophosphate	Nt5e	s
HMDB0000045	Adenosine monophosphate	Nt5c1b	s
HMDB0000045	Adenosine monophosphate	Nt5c1a	s
HMDB0000045	Adenosine monophosphate	Nt5c	s
HMDB0000045	Adenosine monophosphate	Nt5m	s
HMDB0000045	Adenosine monophosphate	Entpd1	p
HMDB0000045	Adenosine monophosphate	Entpd3	p
HMDB0000045	Adenosine monophosphate	Enpp1	p
HMDB0000045	Adenosine monophosphate	Enpp3	p
HMDB0000045	Adenosine monophosphate	Bpnt1	p
HMDB0000045	Adenosine monophosphate	Adpgk	p
HMDB0000045	Adenosine monophosphate	Hprt1	s
HMDB0000045	Adenosine monophosphate	Prps1l1	p
HMDB0000045	Adenosine monophosphate	Acsl4	p
HMDB0000045	Adenosine monophosphate	Pde1a	p
HMDB0000045	Adenosine monophosphate	Ube2d1	p
HMDB0000045	Adenosine monophosphate	Pde8a	p
HMDB0000045	Adenosine monophosphate	Acsl1	p
HMDB0000050	Adenosine	Nt5e	p
HMDB0000050	Adenosine	Nt5c1b	p
HMDB0000050	Adenosine	Nt5c1a	p
HMDB0000050	Adenosine	Nt5c	p
HMDB0000050	Adenosine	Nt5m	p
HMDB0000050	Adenosine	Adk	s
HMDB0000050	Adenosine	Ahcyl2	p
HMDB0000050	Adenosine	Ahcy	p
HMDB0000050	Adenosine	Ahcyl1	p
HMDB0000050	Adenosine	Nt5c2	p
HMDB0000053	Androstenedione	Akr1c18	p
HMDB0000053	Androstenedione	Cyp11b2	s
