HMDB.ID	Metabolite.name	Receptor_gene.ID	Receptor_symbol
HMDB0000012	Deoxyuridine	13340	Slc29a2
HMDB0000014	Deoxycytidine	13340	Slc29a2
HMDB0000022	3-Methoxytyramine	111174	Taar1
HMDB0000030	Biotin	330064	Slc5a6
HMDB0000031	Androsterone	11835	Ar
HMDB0000034	Adenine	74150	Slc35f5
HMDB0000034	Adenine	71279	Slc29a3
HMDB0000034	Adenine	13340	Slc29a2
HMDB0000034	Adenine	114304	Slc28a3
HMDB0000037	Aldosterone	110784	Nr3c2
HMDB0000043	Betaine	14411	Slc6a12
HMDB0000045	Adenosine monophosphate	11539	Adora1
HMDB0000050	Adenosine	13340	Slc29a2
HMDB0000050	Adenosine	63959	Slc29a1
HMDB0000050	Adenosine	11542	Adora3
HMDB0000050	Adenosine	11541	Adora2b
HMDB0000050	Adenosine	11540	Adora2a
HMDB0000050	Adenosine	11539	Adora1
HMDB0000053	Androstenedione	11835	Ar
HMDB0000056	beta-Alanine	211578	Mrgprd
HMDB0000058	Cyclic AMP	15166	Hcn2
HMDB0000058	Cyclic AMP	15165	Hcn1
HMDB0000062	L-Carnitine	20520	Slc22a5
HMDB0000062	L-Carnitine	56517	Slc22a21
HMDB0000063	Cortisol	14815	Nr3c1
HMDB0000064	Creatine	240638	Slc16a12
HMDB0000067	Cholesterol	20778	Scarb1
HMDB0000067	Cholesterol	19885	Rorc
HMDB0000067	Cholesterol	225998	Rorb
HMDB0000067	Cholesterol	19883	Rora
HMDB0000067	Cholesterol	237636	Npc1l1
HMDB0000067	Cholesterol	16835	Ldlr
HMDB0000067	Cholesterol	12491	Cd36
HMDB0000068	Epinephrine	11556	Adrb3
HMDB0000068	Epinephrine	11555	Adrb2
HMDB0000068	Epinephrine	11554	Adrb1
HMDB0000068	Epinephrine	11553	Adra2c
HMDB0000068	Epinephrine	11552	Adra2b
HMDB0000068	Epinephrine	11551	Adra2a
HMDB0000068	Epinephrine	11550	Adra1d
HMDB0000068	Epinephrine	11548	Adra1b
HMDB0000068	Epinephrine	11549	Adra1a
HMDB0000071	Deoxyinosine	13340	Slc29a2
HMDB0000073	Dopamine	193034	Trpv1
HMDB0000073	Dopamine	13162	Slc6a3
HMDB0000073	Dopamine	20520	Slc22a5
HMDB0000073	Dopamine	20519	Slc22a3
HMDB0000073	Dopamine	56517	Slc22a21
HMDB0000073	Dopamine	20518	Slc22a2
HMDB0000073	Dopamine	13492	Drd5
HMDB0000073	Dopamine	13491	Drd4
HMDB0000073	Dopamine	13490	Drd3
HMDB0000073	Dopamine	13489	Drd2
HMDB0000073	Dopamine	13488	Drd1
HMDB0000073	Dopamine	12846	Comt
HMDB0000077	Dehydroepiandrosterone	11835	Ar
HMDB0000085	Deoxyguanosine	13340	Slc29a2
HMDB0000089	Cytidine	13340	Slc29a2
HMDB0000089	Cytidine	63959	Slc29a1
HMDB0000094	Citric acid	63873	Trpv4
HMDB0000094	Citric acid	237831	Slc13a5
HMDB0000097	Choline	63993	Slc5a7
HMDB0000097	Choline	70129	Slc44a4
HMDB0000097	Choline	213603	Slc44a3
HMDB0000097	Choline	68682	Slc44a2
HMDB0000097	Choline	100434	Slc44a1
HMDB0000097	Choline	20520	Slc22a5
HMDB0000097	Choline	56517	Slc22a21
HMDB0000097	Choline	20518	Slc22a2
HMDB0000097	Choline	20517	Slc22a1
HMDB0000101	Deoxyadenosine	13340	Slc29a2
HMDB0000108	Ethanol	16521	Kcnj5
HMDB0000108	Ethanol	16519	Kcnj3
HMDB0000108	Ethanol	15561	Htr3a
HMDB0000108	Ethanol	110835	Chrna5
HMDB0000112	gamma-Aminobutyric acid	102857	Slc6a8
HMDB0000112	gamma-Aminobutyric acid	21366	Slc6a6
HMDB0000112	gamma-Aminobutyric acid	14412	Slc6a13
HMDB0000112	gamma-Aminobutyric acid	14411	Slc6a12
HMDB0000112	gamma-Aminobutyric acid	243616	Slc6a11
HMDB0000112	gamma-Aminobutyric acid	232333	Slc6a1
HMDB0000112	gamma-Aminobutyric acid	14407	Gabrg3
HMDB0000112	gamma-Aminobutyric acid	14406	Gabrg2
HMDB0000112	gamma-Aminobutyric acid	14405	Gabrg1
HMDB0000112	gamma-Aminobutyric acid	14402	Gabrb3
HMDB0000112	gamma-Aminobutyric acid	14401	Gabrb2
HMDB0000112	gamma-Aminobutyric acid	14400	Gabrb1
HMDB0000112	gamma-Aminobutyric acid	14399	Gabra6
HMDB0000112	gamma-Aminobutyric acid	110886	Gabra5
HMDB0000112	gamma-Aminobutyric acid	14397	Gabra4
HMDB0000112	gamma-Aminobutyric acid	14396	Gabra3
HMDB0000112	gamma-Aminobutyric acid	14395	Gabra2
HMDB0000112	gamma-Aminobutyric acid	14394	Gabra1
HMDB0000112	gamma-Aminobutyric acid	242425	Gabbr2
HMDB0000112	gamma-Aminobutyric acid	54393	Gabbr1
HMDB0000121	Folic acid	20509	Slc19a1
HMDB0000121	Folic acid	14276	Folr2
HMDB0000121	Folic acid	14275	Folr1
HMDB0000122	D-Glucose	117591	Slc2a9
HMDB0000122	D-Glucose	56017	Slc2a8
HMDB0000122	D-Glucose	435818	Slc2a7
HMDB0000122	D-Glucose	227659	Slc2a6
HMDB0000122	D-Glucose	20528	Slc2a4
HMDB0000122	D-Glucose	20527	Slc2a3
HMDB0000122	D-Glucose	20526	Slc2a2
HMDB0000122	D-Glucose	353169	Slc2a12
HMDB0000122	D-Glucose	170441	Slc2a10
HMDB0000122	D-Glucose	20525	Slc2a1
HMDB0000123	Glycine	14664	Slc6a9
HMDB0000123	Glycine	104245	Slc6a5
HMDB0000123	Glycine	215335	Slc36a1
HMDB0000123	Glycine	72472	Slc16a10
HMDB0000123	Glycine	14810	Grin1
HMDB0000123	Glycine	14658	Glrb
HMDB0000123	Glycine	14657	Glra4
HMDB0000123	Glycine	110304	Glra3
HMDB0000123	Glycine	237213	Glra2
HMDB0000123	Glycine	14654	Glra1
HMDB0000131	Glycerol	11828	Aqp3
HMDB0000132	Guanine	13340	Slc29a2
HMDB0000133	Guanosine	13340	Slc29a2
HMDB0000133	Guanosine	63959	Slc29a1
HMDB0000134	Fumaric acid	237831	Slc13a5
HMDB0000143	D-Galactose	56017	Slc2a8
HMDB0000143	D-Galactose	20527	Slc2a3
HMDB0000143	D-Galactose	20526	Slc2a2
HMDB0000143	D-Galactose	170441	Slc2a10
HMDB0000143	D-Galactose	20525	Slc2a1
HMDB0000145	Estrone	13982	Esr1
HMDB0000148	L-Glutamic acid	193034	Trpv1
HMDB0000148	L-Glutamic acid	20514	Slc1a5
HMDB0000148	L-Glutamic acid	14823	Grm8
HMDB0000148	L-Glutamic acid	108073	Grm7
HMDB0000148	L-Glutamic acid	108072	Grm6
HMDB0000148	L-Glutamic acid	108071	Grm5
HMDB0000148	L-Glutamic acid	268934	Grm4
HMDB0000148	L-Glutamic acid	108069	Grm3
HMDB0000148	L-Glutamic acid	108068	Grm2
HMDB0000148	L-Glutamic acid	14816	Grm1
HMDB0000148	L-Glutamic acid	170483	Grin3b
HMDB0000148	L-Glutamic acid	242443	Grin3a
HMDB0000148	L-Glutamic acid	14814	Grin2d
HMDB0000148	L-Glutamic acid	14813	Grin2c
HMDB0000148	L-Glutamic acid	14812	Grin2b
HMDB0000148	L-Glutamic acid	14811	Grin2a
HMDB0000148	L-Glutamic acid	14810	Grin1
HMDB0000148	L-Glutamic acid	14809	Grik5
HMDB0000148	L-Glutamic acid	110637	Grik4
HMDB0000148	L-Glutamic acid	14807	Grik3
HMDB0000148	L-Glutamic acid	14806	Grik2
HMDB0000148	L-Glutamic acid	14805	Grik1
HMDB0000148	L-Glutamic acid	14804	Grid2
HMDB0000148	L-Glutamic acid	14803	Grid1
HMDB0000148	L-Glutamic acid	14802	Gria4
HMDB0000148	L-Glutamic acid	53623	Gria3
HMDB0000148	L-Glutamic acid	14800	Gria2
HMDB0000148	L-Glutamic acid	14799	Gria1
HMDB0000151	Estradiol	13983	Esr2
HMDB0000151	Estradiol	13982	Esr1
HMDB0000153	Estriol	13982	Esr1
HMDB0000156	Malic acid	20512	Slc1a3
HMDB0000156	Malic acid	237831	Slc13a5
HMDB0000157	Hypoxanthine	13340	Slc29a2
HMDB0000158	L-Tyrosine	20539	Slc7a5
HMDB0000158	L-Tyrosine	72472	Slc16a10
HMDB0000158	L-Tyrosine	64095	Gpr35
HMDB0000159	L-Phenylalanine	20539	Slc7a5
HMDB0000159	L-Phenylalanine	215113	Slc43a2
HMDB0000159	L-Phenylalanine	72401	Slc43a1
HMDB0000159	L-Phenylalanine	72472	Slc16a10
HMDB0000159	L-Phenylalanine	217302	Gpr142
HMDB0000163	D-Maltose	20527	Slc2a3
HMDB0000167	L-Threonine	72401	Slc43a1
HMDB0000168	L-Asparagine	72401	Slc43a1
HMDB0000168	L-Asparagine	20514	Slc1a5
HMDB0000169	D-Mannose	20527	Slc2a3
HMDB0000169	D-Mannose	20526	Slc2a2
HMDB0000169	D-Mannose	20525	Slc2a1
HMDB0000172	L-Isoleucine	215113	Slc43a2
HMDB0000172	L-Isoleucine	72401	Slc43a1
HMDB0000177	L-Histidine	20539	Slc7a5
HMDB0000177	L-Histidine	69354	Slc38a4
HMDB0000181	L-Dopa	72472	Slc16a10
HMDB0000182	L-Lysine	11989	Slc7a3
HMDB0000182	L-Lysine	11988	Slc7a2
HMDB0000182	L-Lysine	11987	Slc7a1
HMDB0000182	L-Lysine	69354	Slc38a4
HMDB0000187	L-Serine	53896	Slc7a10
HMDB0000187	L-Serine	72401	Slc43a1
HMDB0000187	L-Serine	17254	Slc3a2
HMDB0000187	L-Serine	20514	Slc1a5
HMDB0000187	L-Serine	55963	Slc1a4
HMDB0000190	L-Lactic acid	20501	Slc16a1
HMDB0000190	L-Lactic acid	243270	Hcar1
HMDB0000191	L-Aspartic acid	20511	Slc1a2
HMDB0000195	Inosine	13340	Slc29a2
HMDB0000195	Inosine	63959	Slc29a1
HMDB0000207	Oleic acid	26459	Slc27a5
HMDB0000208	Oxoglutaric acid	239283	Oxgr1
HMDB0000214	Ornithine	11989	Slc7a3
HMDB0000214	Ornithine	11988	Slc7a2
HMDB0000214	Ornithine	11987	Slc7a1
HMDB0000216	Norepinephrine	20538	Slc6a2
HMDB0000216	Norepinephrine	20519	Slc22a3
HMDB0000216	Norepinephrine	20518	Slc22a2
HMDB0000216	Norepinephrine	20517	Slc22a1
HMDB0000216	Norepinephrine	12846	Comt
HMDB0000216	Norepinephrine	11556	Adrb3
HMDB0000216	Norepinephrine	11555	Adrb2
HMDB0000216	Norepinephrine	11554	Adrb1
HMDB0000216	Norepinephrine	11553	Adra2c
HMDB0000216	Norepinephrine	11552	Adra2b
HMDB0000216	Norepinephrine	11551	Adra2a
HMDB0000216	Norepinephrine	11548	Adra1b
HMDB0000216	Norepinephrine	11549	Adra1a
HMDB0000216	Norepinephrine	11550	Adra1a
HMDB0000220	Palmitic acid	26459	Slc27a5
HMDB0000234	Testosterone	210198	Gprc6a
HMDB0000234	Testosterone	11835	Ar
HMDB0000235	Thiamine	80721	Slc19a3
HMDB0000235	Thiamine	116914	Slc19a2
HMDB0000235	Thiamine	20509	Slc19a1
HMDB0000243	Pyruvic acid	216867	Slc16a11
HMDB0000243	Pyruvic acid	20501	Slc16a1
HMDB0000244	Riboflavin	52710	Slc52a2
HMDB0000248	Thyroxine	21834	Thrb
HMDB0000248	Thyroxine	21833	Thra
HMDB0000248	Thyroxine	20502	Slc16a2
HMDB0000252	Sphingosine	58800	Trpm7
HMDB0000254	Succinic acid	84112	Sucnr1
HMDB0000254	Succinic acid	237831	Slc13a5
HMDB0000259	Serotonin	22068	Trpc6
HMDB0000259	Serotonin	15567	Slc6a4
